N,P,K,temperature,humidity,ph,rainfall,label
26.9,122.12,200.72,21.08,90.85,6.01,108.48,apple
25.37,49.35,17.88,25.17,36.07,3.94,56.53,mothbeans
17.49,52.43,19.32,30.68,84.64,6.86,61.29,mungbean
16.55,45.86,16.55,31.2,81.76,7.11,64.53,mungbean
35.28,11.8,13.14,23.93,94.44,6.61,103.44,orange
22.27,131.7,198.75,23.88,93.27,5.71,111.45,apple
35.6,75.4,95.79,24.72,22.85,6.12,98.66,chickpea
78.13,54.27,24.69,19.36,64.25,6.8,79.55,maize
45.55,65.61,45.62,23.45,93.09,6.91,44.24,papaya
26.21,22.68,39.21,19.08,94.05,6.26,113.87,pomegranate
97.25,93.44,45.91,23.89,85.47,6.37,116.04,banana
26.29,55.98,16.33,31.0,45.46,9.5,38.24,mothbeans
18.0,17.11,42.28,19.15,86.7,6.99,106.45,pomegranate
83.24,23.86,30.17,24.65,54.55,7.15,183.12,coffee
99.38,15.2,47.04,26.45,81.6,6.39,40.43,watermelon
29.83,74.43,15.66,18.96,57.52,7.05,124.64,pigeonpeas
31.67,56.56,21.27,34.81,32.8,7.11,153.46,pigeonpeas
21.29,29.44,14.69,26.72,91.04,6.46,118.32,orange
64.49,63.21,52.09,41.65,88.99,6.6,111.98,papaya
109.84,13.05,52.57,27.41,94.65,6.53,21.58,muskmelon
26.96,58.76,24.78,31.18,46.79,6.99,40.28,mothbeans
32.18,59.63,87.02,22.66,15.39,6.66,68.72,chickpea
15.94,26.76,35.21,19.18,86.39,5.79,115.31,pomegranate
109.43,20.44,29.07,24.01,51.31,6.76,179.93,coffee
107.04,48.43,20.02,25.31,75.04,6.35,65.89,cotton
100.25,21.63,50.54,26.8,89.4,6.72,47.1,watermelon
23.32,11.75,39.57,22.81,91.29,6.52,103.98,pomegranate
35.35,64.2,99.53,19.86,21.73,7.2,77.57,chickpea
105.11,57.74,21.31,23.29,76.76,5.79,77.42,cotton
23.42,130.34,203.5,21.13,91.21,6.21,101.37,apple
61.86,41.97,37.94,25.65,85.89,5.88,254.91,rice
88.0,39.07,40.23,25.54,77.21,7.13,179.8,jute
29.27,39.2,15.91,25.68,84.79,6.76,57.71,mungbean
67.63,41.56,16.77,19.99,68.01,7.36,64.79,maize
33.39,136.66,198.34,21.55,91.02,5.93,120.82,apple
32.94,131.95,197.87,11.56,88.75,6.11,61.6,grapes
29.82,29.97,11.06,21.04,90.51,6.17,101.95,orange
31.21,15.02,31.97,32.07,49.15,4.57,69.39,mango
115.74,40.75,15.38,25.78,78.51,7.11,73.13,cotton
32.47,25.48,31.14,28.71,52.14,5.24,63.9,mango
26.87,51.92,19.77,34.83,63.37,6.9,46.74,mungbean
86.36,38.42,23.77,22.26,63.43,7.02,63.97,maize
27.78,62.57,18.57,22.01,22.76,6.34,127.66,kidneybeans
24.94,137.41,199.26,23.86,92.72,6.12,109.14,apple
118.87,78.1,54.28,23.59,81.94,6.88,110.03,banana
18.52,143.33,197.65,22.08,92.52,6.12,121.74,apple
28.12,56.31,19.93,23.64,60.79,6.15,53.93,lentil
54.29,67.42,53.89,38.23,93.28,6.46,133.54,papaya
21.01,19.39,31.8,28.97,96.22,5.6,162.7,coconut
42.3,75.0,97.66,21.48,21.36,7.38,90.47,chickpea
25.03,21.07,28.41,26.17,97.89,5.67,219.14,coconut
21.23,56.78,17.91,26.17,52.28,6.09,105.76,pigeonpeas
24.84,10.03,13.84,17.01,91.27,6.65,109.6,orange
95.07,20.18,54.02,25.3,87.87,6.78,44.75,watermelon
97.84,55.48,16.54,21.68,55.8,7.06,95.88,maize
15.56,63.16,23.28,24.54,57.1,6.59,162.8,pigeonpeas
39.3,61.46,21.5,28.59,60.49,6.87,66.19,blackgram
109.9,14.44,52.26,28.03,91.46,6.8,20.16,muskmelon
33.88,39.26,31.21,29.86,52.39,5.61,46.25,mango
37.01,64.21,99.3,23.61,21.17,6.29,80.42,chickpea
36.13,63.81,22.98,27.47,63.98,7.32,71.42,blackgram
85.34,56.75,15.06,18.3,66.71,7.11,99.1,maize
17.37,66.73,24.08,31.96,59.26,6.92,147.8,pigeonpeas
23.38,74.23,95.63,20.29,21.07,6.07,61.56,chickpea
31.24,73.13,20.66,36.42,31.03,5.78,132.76,pigeonpeas
36.45,127.75,203.68,32.24,82.08,6.18,67.88,grapes
98.46,70.29,47.89,25.87,87.36,6.63,95.55,banana
39.96,38.87,33.04,28.73,52.92,5.13,75.77,mango
71.42,42.14,42.0,26.04,84.43,6.36,151.65,jute
69.69,57.86,50.22,30.66,88.63,6.84,180.85,papaya
67.84,44.67,37.16,22.3,78.71,6.04,266.67,rice
39.23,39.61,20.64,27.01,40.03,4.2,47.08,mothbeans
17.64,42.01,19.2,28.0,46.07,4.58,46.95,mothbeans
98.6,16.45,49.48,27.39,93.05,6.77,22.01,muskmelon
15.69,25.66,33.42,27.04,95.46,5.89,216.58,coconut
107.5,14.5,46.28,26.83,88.17,6.49,40.37,watermelon
65.6,42.88,15.29,22.49,69.14,7.35,106.35,maize
83.9,42.18,22.08,25.33,72.36,6.77,100.87,maize
20.35,27.01,33.64,25.11,96.19,6.01,158.4,coconut
20.68,18.09,13.95,29.16,92.79,6.28,109.93,orange
22.26,15.23,29.69,36.36,47.43,4.65,92.83,mango
16.98,17.84,28.56,27.98,93.76,7.0,146.44,coconut
17.02,37.46,16.72,28.09,37.05,3.54,56.68,mothbeans
37.24,13.43,36.94,23.49,86.99,6.04,124.33,pomegranate
99.48,41.05,37.71,20.82,86.58,5.93,293.67,rice
56.24,68.24,49.96,38.74,94.26,6.42,78.97,papaya
20.49,67.3,16.16,29.85,60.87,7.45,66.93,blackgram
26.85,58.5,18.94,26.14,60.52,6.64,51.2,mungbean
24.87,137.94,201.6,22.7,93.34,6.23,121.32,apple
115.25,51.14,21.89,25.53,83.6,7.49,81.79,cotton
31.06,20.36,43.85,24.26,87.88,6.69,112.7,pomegranate
17.36,124.36,204.68,22.08,90.23,5.83,108.26,apple
24.79,38.17,15.23,30.5,64.67,8.77,53.89,mothbeans
20.41,15.73,13.81,31.31,91.22,6.25,107.16,orange
25.98,60.62,94.64,23.18,18.18,6.82,66.17,chickpea
89.8,51.55,44.04,24.53,70.6,6.22,154.42,jute
115.27,42.55,17.12,24.3,77.21,7.15,77.09,cotton
102.49,10.57,53.2,27.64,91.64,6.26,24.26,muskmelon
108.13,57.74,16.49,24.99,70.82,7.3,84.52,cotton
32.32,28.48,42.96,19.59,94.21,6.05,110.0,pomegranate
110.6,52.75,19.3,25.48,79.6,6.74,65.74,cotton
30.74,77.46,18.92,16.95,23.16,6.05,109.36,kidneybeans
15.97,76.18,22.93,25.65,56.33,5.51,187.94,pigeonpeas
90.85,53.15,39.09,20.51,77.01,5.67,291.85,rice
39.97,61.71,19.68,28.1,68.32,6.78,166.76,pigeonpeas
72.48,43.87,43.5,25.15,83.87,6.34,168.44,jute
126.7,53.92,24.95,26.53,71.4,7.31,70.75,cotton
15.6,13.93,35.45,18.73,90.3,5.73,104.76,pomegranate
96.84,94.13,45.36,25.16,86.71,6.23,128.66,banana
34.04,22.33,27.52,26.9,98.76,5.59,223.28,coconut
104.97,83.57,53.27,23.14,83.78,6.87,126.12,banana
32.31,61.93,16.85,35.77,49.02,4.59,158.79,pigeonpeas
104.52,10.06,48.96,29.58,93.82,6.03,20.13,muskmelon
22.11,76.18,22.61,17.74,19.08,5.6,132.4,kidneybeans
29.45,10.01,37.45,18.69,86.81,6.61,121.12,pomegranate
87.27,50.54,40.73,24.71,78.94,6.37,182.16,jute
86.11,52.31,15.87,19.18,69.32,6.29,63.38,maize
21.45,67.29,20.04,20.84,63.21,5.74,52.22,lentil
25.28,61.96,22.69,28.39,60.1,4.6,119.92,pigeonpeas
67.39,49.77,40.91,20.64,87.97,6.25,278.55,rice
29.64,38.3,20.78,29.4,45.72,8.97,43.69,mothbeans
92.99,17.04,51.74,24.13,88.83,6.61,40.06,watermelon
81.87,36.02,37.87,26.34,75.85,6.68,221.05,rice
15.03,22.89,39.12,24.31,94.49,5.6,121.26,pomegranate
82.52,30.17,33.41,23.66,67.63,7.25,193.32,coffee
17.65,59.57,17.79,27.18,89.93,6.69,42.5,mungbean
33.45,129.3,201.65,21.07,90.87,5.77,112.54,apple
91.41,35.92,42.41,25.62,77.44,6.05,287.95,rice
97.44,91.42,52.54,28.98,82.79,6.2,110.5,banana
102.59,24.2,46.86,27.81,90.97,6.48,27.17,muskmelon
75.15,42.37,35.77,26.89,78.89,6.7,166.05,jute
32.75,13.65,27.31,28.83,96.09,6.46,211.99,coconut
88.89,59.46,40.7,23.59,80.19,6.12,196.06,jute
18.36,57.63,15.08,23.55,23.58,5.75,98.6,kidneybeans
58.17,59.25,46.85,38.44,91.07,6.65,213.71,papaya
84.79,27.28,31.92,26.62,52.95,6.23,180.39,coffee
64.45,75.15,53.26,39.45,86.99,6.95,145.83,papaya
23.69,32.25,26.28,35.6,53.95,6.18,86.52,mango
40.57,78.59,18.9,32.1,71.5,7.19,78.07,blackgram
137.51,55.64,22.14,24.58,82.23,6.8,98.23,cotton
19.74,71.08,22.93,18.18,60.0,6.62,37.6,lentil
35.67,59.31,16.14,25.95,66.99,6.72,71.93,blackgram
28.65,78.91,92.39,23.8,21.16,6.51,73.62,chickpea
29.41,19.12,14.92,16.52,90.18,6.29,117.41,orange
17.82,136.42,202.07,22.88,94.25,5.6,124.0,apple
35.89,39.47,29.98,29.15,53.9,6.35,44.19,mango
119.34,98.51,54.82,23.87,83.31,6.81,106.53,banana
23.75,62.64,79.95,19.68,15.15,6.75,62.5,chickpea
68.16,44.13,43.95,24.85,71.24,6.44,178.1,jute
33.81,16.68,39.91,22.74,91.81,6.12,117.42,pomegranate
108.21,12.13,49.07,27.23,93.3,6.14,28.02,muskmelon
31.22,39.63,16.74,24.96,45.24,5.95,69.02,mothbeans
27.72,63.08,17.43,32.24,68.29,6.55,72.68,blackgram
39.16,49.95,21.93,28.6,79.23,7.11,53.37,mungbean
101.79,53.66,18.39,24.94,70.46,6.19,83.13,cotton
39.75,59.22,22.83,31.71,73.22,6.88,64.93,blackgram
37.78,13.93,31.79,27.76,92.7,6.88,154.22,coconut
120.88,57.71,21.91,24.16,84.8,5.9,91.58,cotton
82.41,44.53,38.25,26.12,89.86,6.79,173.76,jute
62.49,41.47,44.33,24.25,86.35,6.6,192.5,jute
131.68,51.02,15.87,24.41,71.84,6.15,81.82,cotton
31.73,26.07,39.9,22.32,94.64,6.97,106.81,pomegranate
55.27,77.35,54.85,29.91,87.9,6.94,70.1,papaya
19.67,10.24,25.55,28.28,90.78,6.6,225.34,coconut
124.99,56.29,23.13,25.54,74.74,6.29,85.95,cotton
96.79,10.5,51.71,24.07,88.31,6.36,47.82,watermelon
16.55,44.67,21.95,24.5,37.03,5.94,65.92,mothbeans
105.0,15.53,48.29,26.64,88.4,6.46,42.7,watermelon
23.56,21.63,39.92,23.64,87.52,6.54,102.71,pomegranate
98.44,44.73,23.79,20.91,59.38,6.39,73.74,maize
19.23,25.24,29.28,36.39,45.18,5.9,88.11,mango
42.87,58.31,19.1,31.2,71.12,6.56,63.99,blackgram
20.81,58.11,22.57,23.07,20.96,6.43,94.9,kidneybeans
42.69,73.99,17.59,34.51,74.53,7.05,67.45,blackgram
18.17,39.25,16.96,30.01,48.82,5.82,62.63,mothbeans
66.41,65.3,47.72,28.02,90.79,6.1,65.02,papaya
19.69,77.15,23.45,32.27,52.03,6.15,98.98,pigeonpeas
105.8,22.89,51.47,28.24,93.13,6.37,22.18,muskmelon
31.54,74.02,98.42,22.68,23.82,7.83,82.94,chickpea
25.52,20.76,13.16,24.14,93.08,6.34,118.65,orange
30.35,73.21,96.05,20.17,15.24,6.84,76.07,chickpea
27.98,54.23,22.2,30.26,68.78,6.78,62.81,mungbean
108.63,23.5,48.77,25.4,83.99,6.03,46.44,watermelon
69.05,60.24,50.14,41.61,90.94,6.41,165.03,papaya
17.76,28.47,31.56,29.05,93.09,6.04,166.23,coconut
90.84,20.83,48.23,28.3,93.6,6.52,28.61,muskmelon
70.96,56.84,24.63,18.28,61.32,6.92,90.03,maize
113.54,23.54,28.59,27.56,66.39,6.36,162.1,coffee
16.57,67.1,18.59,19.96,19.77,6.11,120.4,kidneybeans
21.13,11.75,39.96,21.61,90.32,6.07,123.57,pomegranate
72.44,50.16,44.55,25.69,80.26,6.89,230.9,rice
98.01,41.68,44.14,26.89,74.64,6.73,195.2,jute
30.34,36.21,20.2,26.43,37.2,5.35,47.35,mothbeans
36.02,56.05,86.0,18.61,23.58,6.17,64.65,chickpea
77.09,56.64,40.74,25.42,89.33,6.45,169.58,jute
27.66,62.15,75.6,23.2,22.29,6.52,70.81,chickpea
26.59,28.36,25.7,28.3,98.55,5.69,168.76,coconut
38.07,55.74,15.11,28.09,79.49,6.31,50.13,mungbean
39.47,71.94,19.99,22.81,22.23,6.16,118.35,kidneybeans
15.11,61.5,23.93,20.53,23.0,5.75,141.71,kidneybeans
30.35,53.46,17.79,27.11,63.38,6.78,43.39,mungbean
24.93,26.2,37.96,24.34,94.76,6.34,112.95,pomegranate
21.73,26.0,33.3,25.29,100.0,6.01,142.16,coconut
84.03,31.33,27.64,27.51,68.28,6.43,156.65,coffee
98.31,15.52,50.63,25.96,88.55,6.57,47.37,watermelon
38.03,140.62,198.58,22.93,90.26,6.46,108.62,apple
23.41,28.67,36.18,20.94,85.52,5.96,125.93,pomegranate
91.76,38.94,33.71,23.43,61.8,7.33,192.17,coffee
27.51,11.87,36.15,24.58,89.51,6.06,117.63,pomegranate
44.59,78.2,90.9,24.88,20.01,6.84,81.66,chickpea
25.14,77.06,16.55,21.02,67.89,6.83,51.59,lentil
21.75,23.77,12.32,32.82,93.75,6.05,103.51,orange
31.59,20.89,25.76,28.06,49.92,5.16,62.98,mango
54.31,73.51,46.41,27.07,85.17,6.37,89.63,papaya
77.28,44.09,40.7,25.7,89.62,6.71,232.7,rice
20.84,51.1,23.04,30.06,50.62,6.78,47.79,mothbeans
26.35,48.09,20.7,26.96,47.56,3.78,59.94,mothbeans
38.72,26.7,29.18,32.19,52.94,6.32,65.22,mango
31.49,78.08,20.54,25.38,69.71,6.58,74.18,blackgram
23.31,43.87,16.61,28.17,81.04,6.45,58.3,mungbean
21.07,10.25,32.25,25.31,98.19,6.72,149.43,coconut
33.73,28.74,41.81,19.9,92.12,6.26,117.69,pomegranate
95.13,97.22,49.27,26.58,83.47,6.28,123.34,banana
31.91,46.79,22.18,26.06,65.53,7.11,50.39,mungbean
23.44,126.51,202.05,38.99,85.54,6.97,61.93,grapes
132.4,36.68,20.32,26.87,83.87,5.65,95.97,cotton
95.46,10.33,46.5,24.03,80.42,6.74,45.33,watermelon
48.81,78.91,49.12,30.43,94.71,6.43,144.09,papaya
34.24,20.98,43.81,20.47,90.34,6.01,118.18,pomegranate
86.62,26.79,33.42,24.94,61.44,6.9,166.45,coffee
83.06,50.69,20.41,24.36,73.68,6.55,82.36,maize
19.91,58.4,23.31,26.3,42.46,3.95,59.52,mothbeans
27.95,54.95,19.53,32.4,81.31,6.23,59.88,mungbean
117.7,83.71,48.28,25.33,89.67,6.98,98.52,banana
20.28,68.63,87.07,22.57,16.66,6.71,82.78,chickpea
22.01,23.44,10.65,12.91,94.31,7.48,105.16,orange
108.82,18.48,48.3,29.64,92.05,6.7,26.53,muskmelon
38.19,12.2,14.55,11.73,93.0,6.84,101.61,orange
40.64,55.53,15.51,25.53,68.28,6.63,61.45,blackgram
31.07,16.84,36.3,23.78,88.04,6.49,129.27,pomegranate
36.48,73.64,85.47,20.77,20.68,6.64,68.02,chickpea
29.08,70.85,15.39,25.68,69.12,6.57,40.14,lentil
19.87,59.42,15.55,25.73,87.92,6.34,49.46,mungbean
18.01,46.05,18.55,25.46,60.32,4.4,58.61,mothbeans
100.18,55.75,20.01,23.81,75.59,6.31,72.57,cotton
19.23,16.97,32.48,25.44,90.26,6.06,143.36,coconut
22.99,124.84,200.21,35.15,88.03,6.49,72.78,grapes
33.39,28.75,35.38,22.53,94.8,6.94,110.07,pomegranate
111.39,35.43,31.44,23.41,67.54,6.95,178.56,coffee
16.81,20.08,36.5,23.88,92.78,6.88,104.69,pomegranate
29.16,70.7,22.49,25.03,65.66,5.6,47.16,lentil
35.04,21.61,32.74,28.96,54.95,6.2,46.81,mango
84.97,40.75,21.97,25.02,58.4,7.41,93.25,maize
86.72,52.64,21.83,24.17,59.94,6.71,76.65,maize
36.16,19.18,25.75,30.76,53.85,4.64,63.36,mango
27.89,67.45,24.0,17.53,63.64,5.67,43.09,lentil
107.57,21.5,52.65,25.15,86.27,6.72,41.07,watermelon
118.93,25.73,34.03,26.58,64.54,6.12,198.07,coffee
19.75,60.38,20.87,25.68,60.23,6.57,37.26,lentil
35.34,37.45,20.85,29.17,46.75,7.32,59.25,mothbeans
80.09,49.16,24.91,20.46,68.17,7.39,91.19,maize
20.96,68.86,99.08,23.55,22.51,7.64,93.1,chickpea
29.57,139.79,204.96,22.26,90.01,5.67,105.78,apple
16.34,59.84,16.26,15.22,61.84,5.89,49.16,lentil
15.29,28.45,41.92,23.82,90.85,5.93,122.4,pomegranate
26.5,59.12,87.41,24.25,20.58,6.72,61.58,chickpea
34.16,50.64,18.58,25.86,64.87,6.15,55.39,mothbeans
30.34,71.95,22.93,19.17,20.33,6.04,61.63,kidneybeans
31.85,32.09,27.74,34.81,51.36,6.85,48.07,mango
114.99,20.75,33.79,25.21,56.6,7.12,198.14,coffee
107.4,21.7,52.49,27.08,90.2,6.6,26.65,muskmelon
95.85,49.2,19.95,22.42,65.3,6.43,93.09,maize
16.79,58.01,22.29,20.14,18.11,5.86,93.53,kidneybeans
92.1,32.71,28.54,26.32,59.9,6.26,182.39,coffee
26.06,14.74,13.98,21.25,94.49,6.32,112.55,orange
30.28,65.09,20.93,32.83,74.83,6.28,71.45,blackgram
96.6,95.42,53.06,25.4,79.12,6.83,126.64,banana
76.86,58.61,17.67,18.1,68.13,6.26,68.77,maize
98.11,47.91,40.06,24.97,85.07,6.21,187.32,jute
68.39,73.71,53.89,40.82,87.85,6.26,137.83,papaya
29.38,124.39,200.85,22.39,94.85,5.61,110.77,apple
93.21,29.46,31.22,23.48,64.33,6.94,178.81,coffee
104.3,20.22,53.55,29.01,93.82,6.4,21.87,muskmelon
39.78,65.47,19.97,25.38,72.62,6.84,75.8,blackgram
29.99,74.22,18.46,23.31,66.62,5.89,52.43,lentil
36.48,27.92,13.71,30.55,90.32,6.21,117.97,orange
32.37,65.58,24.7,29.31,32.74,5.69,94.95,pigeonpeas
37.01,57.67,16.36,30.26,64.02,6.22,63.04,blackgram
24.3,122.97,195.89,36.39,82.97,6.93,61.77,grapes
26.93,58.22,19.84,24.0,64.93,7.15,45.0,lentil
102.96,42.81,17.94,23.35,84.88,6.76,74.51,cotton
108.38,32.93,31.8,27.38,64.98,6.15,199.45,coffee
136.2,40.85,22.34,26.22,78.14,7.05,77.65,cotton
81.63,51.54,40.1,25.19,77.59,7.06,178.06,jute
39.48,29.87,31.15,27.46,96.16,6.7,223.97,coconut
95.7,51.14,44.4,26.79,77.88,5.69,249.67,rice
102.57,21.62,49.27,28.65,90.32,6.44,29.48,muskmelon
23.03,65.8,85.25,17.52,15.22,7.43,81.67,chickpea
138.59,43.45,22.19,22.05,74.27,6.81,79.73,cotton
17.49,57.11,17.58,33.58,74.07,6.3,41.77,mungbean
60.49,46.33,35.85,25.88,82.18,7.38,194.77,jute
68.55,57.25,42.31,25.1,82.68,7.48,168.12,jute
39.25,51.62,22.33,31.87,69.35,6.37,64.91,mungbean
106.37,56.32,23.05,23.92,80.11,6.51,63.19,cotton
27.8,139.76,204.27,20.26,88.96,6.31,73.87,grapes
23.03,131.37,202.86,21.56,93.58,6.46,115.67,apple
20.27,78.92,20.3,20.07,24.34,6.17,105.01,kidneybeans
24.78,131.28,203.93,17.3,85.25,5.52,65.53,grapes
24.73,70.6,17.81,30.52,45.81,7.47,91.42,pigeonpeas
23.78,35.72,34.54,34.83,45.2,4.58,77.06,mango
23.63,139.04,196.14,21.03,90.52,6.23,107.96,apple
36.6,37.73,29.07,31.51,50.37,5.17,82.65,mango
20.04,137.64,199.56,18.53,81.88,6.65,69.14,grapes
91.99,50.65,22.44,18.09,69.73,5.7,91.18,maize
28.99,74.16,17.47,24.25,64.87,5.86,42.02,lentil
33.22,133.97,203.71,22.28,92.69,6.27,124.7,apple
60.52,37.07,22.86,24.82,59.94,7.44,77.67,maize
22.53,70.32,84.6,24.27,14.46,6.62,93.35,chickpea
19.18,64.29,15.3,28.98,51.86,4.55,199.51,pigeonpeas
20.53,144.4,202.12,32.78,86.3,6.59,69.67,grapes
94.79,11.86,53.86,27.82,93.88,6.3,23.36,muskmelon
90.52,12.51,51.42,25.99,87.58,6.48,43.72,watermelon
44.87,71.41,98.33,23.96,18.92,6.26,75.58,chickpea
19.19,27.77,11.59,24.0,92.73,6.59,119.17,orange
20.65,62.39,81.75,20.7,17.07,6.44,75.37,chickpea
32.31,62.45,16.47,18.32,22.71,5.77,97.42,kidneybeans
16.69,66.51,17.5,18.39,68.53,6.85,37.19,lentil
87.47,42.87,35.91,23.95,86.2,6.52,169.71,jute
98.63,20.77,50.29,27.98,90.45,6.49,27.39,muskmelon
19.75,50.79,23.8,29.83,54.46,6.72,63.8,mothbeans
20.2,32.9,33.91,29.98,51.25,7.0,30.07,mango
97.27,13.46,48.58,28.88,94.95,6.42,28.42,muskmelon
21.89,60.67,16.99,16.09,64.56,5.93,45.73,lentil
32.74,58.04,79.61,17.84,17.08,7.64,70.37,chickpea
23.26,67.08,16.52,22.41,63.55,6.35,53.61,lentil
39.45,58.22,19.87,25.97,71.14,7.37,73.86,blackgram
26.14,12.67,13.95,12.31,94.48,7.45,117.47,orange
87.29,54.73,43.49,26.59,77.0,6.91,174.21,jute
26.23,55.42,17.22,22.14,22.37,5.75,88.9,kidneybeans
35.0,17.88,12.84,12.95,90.1,6.09,119.0,orange
108.72,14.09,54.77,28.84,94.79,6.47,26.8,muskmelon
35.82,25.61,10.43,16.1,90.92,7.27,117.53,orange
60.79,56.82,23.62,24.94,67.46,6.59,71.33,maize
81.71,51.5,44.76,23.85,80.37,5.73,289.01,rice
20.38,140.93,199.35,23.82,92.61,6.43,118.12,apple
103.41,14.65,45.25,26.23,80.53,6.26,46.23,watermelon
27.56,38.34,22.62,34.75,86.04,7.01,54.9,mungbean
18.24,22.45,27.15,28.9,51.38,4.89,74.4,mango
48.31,59.24,54.41,26.82,89.86,6.5,202.93,papaya
84.02,42.41,15.67,18.72,64.09,7.4,79.03,maize
101.77,20.18,46.89,29.42,92.1,6.39,26.83,muskmelon
19.71,27.01,13.97,12.96,92.96,6.03,107.05,orange
32.39,35.76,27.91,34.72,49.62,6.98,69.95,mango
90.51,20.69,52.62,24.02,84.21,6.06,47.27,watermelon
74.23,35.54,41.36,24.55,80.02,6.12,199.49,jute
42.31,78.4,16.42,29.52,74.11,7.26,77.18,blackgram
94.25,72.1,51.06,27.97,84.65,6.93,102.0,banana
24.2,22.27,31.37,28.6,47.65,6.02,92.66,mango
33.45,74.19,20.47,16.52,22.35,5.7,90.35,kidneybeans
62.98,63.84,49.07,23.73,93.37,6.12,209.54,papaya
100.58,21.06,30.79,27.22,62.59,6.13,186.81,coffee
36.16,29.57,28.48,29.63,51.96,4.87,93.65,mango
24.87,66.51,85.74,22.08,17.1,6.74,85.05,chickpea
27.21,64.3,19.43,35.74,32.02,6.81,138.73,pigeonpeas
103.51,14.32,52.18,24.73,82.94,6.19,42.09,watermelon
33.52,52.52,21.15,25.89,71.55,6.49,56.57,mungbean
64.32,56.23,35.98,20.83,78.87,6.22,220.22,rice
30.76,144.41,196.53,22.8,89.09,6.68,60.09,grapes
34.27,16.89,31.47,36.83,52.46,6.66,61.03,mango
25.94,57.13,19.68,28.53,64.37,6.88,55.67,mungbean
26.61,63.01,23.78,20.8,67.22,6.35,36.69,lentil
21.63,38.11,26.87,32.6,48.65,4.56,42.39,mango
16.01,65.99,25.0,20.22,46.13,4.67,90.12,pigeonpeas
17.46,27.94,30.93,35.17,51.15,4.6,48.21,mango
32.15,79.06,22.87,31.07,68.73,6.74,62.33,blackgram
100.01,51.99,21.04,23.3,81.85,6.95,74.97,cotton
16.42,40.51,19.18,29.96,52.88,5.92,44.28,mothbeans
101.17,44.42,17.0,23.87,76.48,7.43,90.5,cotton
95.71,46.86,23.79,18.65,61.5,6.3,94.5,maize
48.89,78.78,48.29,39.83,93.96,6.14,97.2,papaya
101.54,18.4,47.28,24.34,84.15,6.4,47.29,watermelon
37.7,11.15,30.66,29.37,91.77,5.67,143.52,coconut
41.98,69.32,24.7,32.78,63.93,6.4,74.93,blackgram
34.1,130.5,200.53,23.84,90.33,5.65,108.9,apple
37.21,18.58,10.9,13.05,90.92,6.51,109.45,orange
121.02,54.46,15.46,23.73,73.37,6.25,89.58,cotton
103.5,72.01,46.44,23.96,82.71,5.66,127.64,banana
37.45,56.68,16.52,35.27,37.27,5.13,145.03,pigeonpeas
45.32,75.0,54.82,33.85,93.68,6.47,76.0,papaya
97.58,84.11,50.04,25.11,87.96,6.2,120.23,banana
20.67,137.73,204.08,33.5,80.14,5.76,72.89,grapes
16.18,23.92,32.34,28.99,98.09,6.45,201.88,coconut
28.53,59.56,22.99,25.77,35.32,9.61,39.08,mothbeans
108.45,26.68,25.19,26.13,67.94,6.62,197.83,coffee
26.89,78.58,18.51,19.92,62.85,6.46,43.07,lentil
70.83,52.37,17.24,20.07,66.57,6.98,109.56,maize
94.43,16.24,49.37,28.82,93.0,6.46,27.21,muskmelon
34.15,77.0,23.44,22.66,21.03,6.42,105.7,kidneybeans
26.52,21.81,14.4,23.27,91.33,7.06,116.34,orange
35.13,49.14,16.84,27.73,64.0,6.88,58.03,mungbean
16.66,56.21,18.95,19.93,60.54,6.88,45.12,lentil
96.21,96.92,53.08,24.81,75.57,5.97,117.33,banana
77.56,39.17,40.71,25.67,82.48,6.44,186.11,jute
74.65,42.52,40.18,26.14,87.21,6.23,240.33,rice
61.08,58.76,17.66,26.71,60.54,7.1,64.28,maize
92.24,13.25,45.8,28.36,90.26,6.27,28.53,muskmelon
52.45,56.24,48.69,39.12,86.23,6.99,79.15,papaya
39.63,65.04,76.57,17.1,24.01,7.69,68.13,chickpea
112.79,54.97,24.03,22.08,72.54,6.04,98.94,cotton
84.19,29.88,31.55,26.58,62.17,6.15,155.26,coffee
18.23,22.9,10.28,25.71,93.26,6.97,117.03,orange
15.0,64.95,20.77,23.57,22.91,6.18,130.38,kidneybeans
80.62,19.42,30.74,26.34,65.11,7.09,168.71,coffee
99.71,15.72,51.06,24.7,82.24,6.7,45.03,watermelon
40.13,63.47,19.01,30.38,66.46,6.12,73.54,blackgram
33.91,54.09,20.53,31.27,41.13,5.75,41.68,mothbeans
118.39,59.4,18.82,23.26,83.2,5.79,92.32,cotton
25.38,60.34,78.97,18.62,14.53,7.83,98.56,chickpea
38.44,76.92,89.13,18.39,18.23,6.33,95.34,chickpea
36.61,62.56,15.25,20.26,52.92,6.71,170.18,pigeonpeas
21.01,130.81,200.42,26.91,87.42,6.41,69.33,grapes
37.33,28.67,13.82,17.5,90.35,7.01,113.46,orange
59.46,59.88,54.86,25.64,89.47,6.77,69.41,papaya
61.83,66.13,48.81,40.76,91.83,6.21,157.4,papaya
20.48,56.08,93.2,23.86,17.31,7.36,75.81,chickpea
44.92,59.94,84.06,22.25,23.44,6.0,67.78,chickpea
24.91,45.27,20.55,27.07,45.12,5.98,37.86,mothbeans
39.76,29.37,11.13,25.66,92.15,6.61,101.55,orange
32.54,54.61,24.07,28.6,47.57,8.6,45.8,mothbeans
86.81,36.76,42.46,25.33,85.62,7.17,163.56,jute
